start;hapax_dislegomena;flesch_kincaid_grade
0;0.0457142857;14.7380763473
1144;0.05;17.0483333333
2250;0.03;14.6827020202
2812;0.0666666667;17.3939386503
3738;0.0840336134;14.2739102564
4433;0.067264574;16.1263191763
5854;0.0897435897;13.1161038961
6816;0.1052631579;15.9356865465
8147;0.0380622837;15.7701531213
9800;0.0789473684;10.4398287671
10256;0.0363636364;15.5117300613
11168;0.063670412;14.4883333333
12794;0.0553359684;17.9761904762
14376;0.0580204778;15.4544827586
16170;0.12;19.8886486486
16636;0.1276595745;15.6591397849
17199;0.0776699029;14.2941336634
18470;0.0777777778;14.8588888889
19021;0.0930232558;17.8947663551
20338;0.0392156863;6.0446428571
20612;0.1061946903;19.62
21330;0.0652173913;22.4442028986
22199;0.12;17.781010101
22797;0.1111111111;15.2510344828
23494;0.0761904762;15.2896153846
24121;0.0727272727;19.9066055046
24828;0.0941704036;16.2242139596
26152;0.0509259259;16.0918272425
27533;0.1048951049;20.7747183099
28557;0.0642201835;18.8814814815
29231;0.0897435897;14.6018925081
31071;0.1363636364;13.74875
31473;0.1216216216;15.2486111111
32235;0.1048387097;21.1020512821
32956;0.1785714286;16.1604545455
33312;0.0568181818;14.2204545455
33809;0.1034482759;13.6234482759
34435;0.0933333333;17.8806164384
34877;0.0909090909;18.325
35282;0.0357142857;18.102962963
35847;0.1020408163;16.1879166667
36469;0;4.45
36510;0;20.59
36528;0;32
36539;0.0721649485;17.2289665653
37864;0;6.705
37919;0.15;4.6366666667
38137;0.0909090909;7.8717073171
