start;hapax_dislegomena;flesch_kincaid_grade;hapax_legomena;yule_i;dale_chall_readability_score;honore_r_measure;gunning_fog_index;sichels_s
0;0.08235294117647059;10.857499999999998;0.7058823529411765;76.86170212765957;9.26;2022.473831387945;12.4;0.0013725490196078432
539;0.32051282051282054;9.176190476190474;0.48717948717948717;55.30909090909091;7.14;548.5595564362686;19.410526315789475;0.00843454790823212
750;0.11627906976744186;15.022941176470592;0.8837209302325582;184.9;8.66;2367.1907582461326;20.60952380952381;0.0030599755201958386
927;0.07017543859649122;0.8049999999999997;0.7719298245614035;70.6304347826087;11.4;1923.22358557346;28.82857142857143;0.001594896331738437
962;0.05263157894736842;13.348539325842697;0.6157894736842106;81.67420814479638;8.75;2382.94048321322;17.561290322580646;0.00044984255510571296
2027;0.0;3.2300000000000004;0.6666666666666666;13.5;6.28;1252.4944284216715;9.422222222222222;0.0
2105;0.07037037037037037;17.66181818181818;0.5888888888888889;81.54362416107382;9.72;1999.1817516158746;21.684848484848487;0.00044258094572559986
3818;0.075;25.169550398839736;0.4675;49.62779156327544;10.06;1813.1640894310679;28.91022480058013;0.00040106951871657755
6225;0.060836501901140684;28.594615384615384;0.6007604562737643;76.85444444444444;11.24;2071.3539075532844;33.07692307692308;0.0003850411512730423
7849;0.12578616352201258;11.049206349206347;0.610062893081761;102.76829268292683;8.2;1469.0490202907745;16.2974358974359;0.0012967645723918823
8608;0.11666666666666667;11.297058823529415;0.6166666666666667;77.41935483870968;8.61;1431.2053873396994;22.17401129943503;0.0015765765765765765
9007;0.087248322147651;15.247820895522391;0.5771812080536913;102.54503464203233;9.01;1847.7277081892837;20.310136986301373;0.0005072576869049477
11049;0.0;20.18333333333334;1.0;0;0.35;1556.7281192442506;19.942857142857143;0.0
11103;0.05;7.213333333333335;0.95;200.0;8.06;2797.217030208118;16.431578947368422;0.002631578947368421
11140;0.0;10.740000000000002;1.0;0;10.3;3230.3786447244024;14.8;0.0
11183;0.06263498920086392;12.44817543859649;0.4838012958963283;107.94008056394763;8.49;1824.0467782825037;15.962573099415204;0.0002796204875038568
14010;0.06557377049180328;7.742285714285714;0.7868852459016393;80.8913043478261;8.59;3153.1921577425346;10.194285714285714;0.001366120218579235
14374;0.14705882352941177;9.081363636363637;0.8529411764705882;115.6;10.03;2097.9045368798884;15.084848484848486;0.005070993914807302
14595;0.125;12.844918032786886;0.734375;89.04347826086956;10.32;1473.0631346621028;16.657923497267756;0.0026595744680851063
14998;0.07142857142857142;17.29108982035928;0.6785714285714286;120.61538461538461;10.37;2123.019655521024;20.7851497005988;0.0006265664160401002
15997;0.08860759493670886;12.935789473684213;0.7341772151898734;89.15714285714286;10.97;2283.477579423701;16.02105263157895;0.0015277171540811873
16504;0.06741573033707865;18.597307692307698;0.6067415730337079;98.73822714681441;10.33;2102.208909286358;22.230769230769234;0.00041614648356221387
18206;0.09622641509433963;16.176076724693747;0.49433962264150944;103.34805003679176;9.08;1640.9695022060598;20.154266064904363;0.0003672763934898459
21251;0.1310344827586207;15.014169014084509;0.6275862068965518;109.50520833333333;9.29;1306.5362242766962;18.12056338028169;0.001439939370973854
22071;0.09049773755656108;13.684829812206576;0.5475113122171946;90.78252788104089;8.74;1416.9129295089194;16.659389671361506;0.0007479151864178602
23377;0.07407407407407407;17.18223929285489;0.42328042328042326;73.73600917431193;8.78;1647.741258124119;20.093907187204042;0.00030864197530864197
26766;0.09090909090909091;20.66372093023256;0.8636363636363636;138.28571428571428;10.79;2382.093406605922;23.711627906976744;0.0023923444976076554
27034;0.07894736842105263;9.457777777777778;0.7894736842105263;60.166666666666664;7.44;2150.111363073667;11.644444444444446;0.002631578947368421
27255;0.13636363636363635;8.370000000000001;0.8636363636363636;80.66666666666667;10.59;1897.2971065841934;12.0;0.007177033492822966
27408;0.16666666666666666;7.600000000000001;0.8333333333333334;36.0;10.46;2532.8436022934497;10.0;0.016666666666666666
27478;0.0967741935483871;10.409827586206898;0.7419354838709677;40.041666666666664;9.45;1548.9560817937784;15.455172413793106;0.004207573632538569
