start;end;yule_k_characteristic
0;239;339.5061728395062
241;652;376.2755102040816
654;1251;311.6343490304709
1253;1597;259.8789604841581
1599;2150;291.2808641975309
2152;3455;587.1056241426612
3457;3935;407.71484375
3937;4348;292.39766081871346
4350;4736;357.02479338842977
4738;6283;572.1088197191975
6285;6328;182.61504747991233
6332;6403;0.0
6408;6431;0.0
6436;6461;370.3703703703704
6466;6511;0.0
6516;6570;0.0
6575;6653;88.75739644970415
6658;6718;38.265306122448976
6723;6856;207.10059171597632
6860;6938;103.80622837370242
6943;6973;300.0
6978;7003;0.0
7008;7111;207.93950850661625
7113;7123;0.0
7127;7146;0.0
7151;7205;133.33333333333334
7210;7254;247.93388429752065
7259;7310;207.61245674740485
7315;7340;0.0
7345;7638;447.0486111111111
7643;7678;544.0
7683;7820;280.9573361082206
7825;7890;385.6749311294766
7895;8092;177.95138888888889
8097;8141;232.42630385487527
8143;8170;0.0
8175;8226;103.80622837370242
8231;8277;68.02721088435374
8282;8333;339.5061728395062
8338;8418;221.60664819944597
8423;8447;370.3703703703704
8452;8639;65.74141709276844
8644;8663;65.74141709276844
8668;8694;370.3703703703704
8699;8748;459.18367346938777
8750;8765;0.0
8769;8804;0.0
8809;9022;138.2716049382716
9027;9257;163.88888888888889
9262;9362;151.22873345935727
9367;9510;210.92482422931315
9515;11210;726.1012491781722
11212;11316;170.13232514177693
11318;11604;265.28258362168395
11606;11754;344.82758620689657
11756;11915;380.49940546967895
11917;12010;185.9504132231405
12012;12096;339.5061728395062
12098;12249;277.77777777777777
12251;12722;176.39331957215236
12724;13468;542.2050476995532
13470;13769;277.77777777777777
13771;14717;411.3421550094518
14719;14829;48.0
14831;14912;207.61245674740485
14914;14967;153.0612244897959
14969;15155;92.5925925925926
15157;15400;140.33499320959712
15402;15446;600.0
15448;15713;222.11720226843101
15715;15920;186.98060941828254
15922;16061;831.758034026465
16063;16337;258.03531009506565
16339;16699;277.77777777777777
16701;16923;196.3117192147531
16925;17280;370.58316575696637
17282;17470;380.6228373702422
17472;18072;469.1828254847645
18074;18385;434.4482891195694
18387;18600;131.49243918474687
18602;19412;376.4336829722576
19414;19833;220.5419029615627
19835;20537;334.78584334148155
20539;21206;289.05075731298416
21208;21446;579.5847750865051
21448;21680;317.46031746031747
21682;22215;399.93074792243766
22217;22518;388.0
22520;22865;600.1371742112483
22867;23333;379.8126951092612
23335;23681;529.3005671077505
23683;24735;611.9633146660174
24737;25699;766.0057646956066
25701;26453;331.9943289224953
26455;27340;418.51258365538695
27342;28210;441.5294924554184
28212;28475;243.2610124917817
28477;29317;456.0887279311906
29319;29908;325.48476454293626
29910;30144;241.97530864197532
30149;30203;199.35920256318974
30207;30263;0.0
30268;30331;136.05442176870747
30333;30351;0.0
30353;30425;0.0
30430;30512;524.6913580246913
30517;30535;153.0612244897959
30540;30582;153.0612244897959
30587;30700;291.36316337148804
30705;30735;140.30612244897958
30740;30862;293.3673469387755
30867;30984;82.3045267489712
30989;31286;245.53571428571428
31291;31390;1835.9375
31395;31841;266.6666666666667
31846;32308;313.49026708918063
32313;32421;739.6449704142012
32426;32454;472.5897920604915
32459;32488;0.0
32493;32581;0.0
32585;32608;0.0
32613;32826;311.6343490304709
32831;32919;413.22314049586777
32924;32981;266.2721893491124
32986;33085;392.56198347107437
33090;33236;216.26297577854672
33241;33487;234.375
33492;33520;0.0
33525;33629;236.68639053254438
33634;33665;140.30612244897958
33670;33789;156.08740894901143
33794;33868;321.3957759412305
33873;33999;93.75
34004;34119;255.80011897679952
34124;34162;681.8181818181819
34167;34266;861.6780045351474
34271;34451;308.0
34453;35183;290.0
35185;35821;392.56198347107437
35823;37151;396.1950059453032
37153;37328;100.0
37330;38332;641.7410714285714
38334;38676;402.8972385694885
38678;39055;214.0309155766944
39057;40660;583.3866536188791
40662;42026;433.6889934682949
42028;42529;339.76124885215796
42531;43006;433.1360946745562
43008;43465;327.49209997127264
43467;43835;1036.6681756450882
43837;45346;585.6128808864266
45348;46149;590.3790087463557
46151;46540;190.24970273483947
46542;46761;145.42936288088643
46763;47420;308.41652463274085
47422;47998;359.16824196597355
48000;48913;439.6694214876033
48915;49884;458.57988165680473
49886;50370;282.18694885361555
50372;51585;771.9699005643644
51587;52274;427.1604938271605
52276;53495;634.765625
53497;53568;918.3673469387755
53570;53858;618.6793575252826
53860;53967;309.91735537190084
53969;54590;636.094674556213
54592;54615;0.0
54617;54658;133.33333333333334
54660;54975;334.4867358708189
54977;55532;365.3260695401378
55534;55660;71.3436385255648
55662;55817;285.46712802768167
55819;55953;240.0
55955;56324;246.73008323424494
56326;56395;459.18367346938777
56397;56904;462.25761772853184
56906;57077;114.28571428571429
57079;57680;301.7301038062284
57682;57838;371.09375
57840;58405;474.7607431037718
58407;58941;317.22550953320183
58943;59235;294.42148760330576
59237;60051;316.84027777777777
60053;60274;216.0493827160494
60276;60809;523.705613965483
60811;61127;430.05885015844274
61129;61220;637.1191135734072
61222;61947;369.1358024691358
61949;62134;301.7689906347555
62136;62592;396.4378052283827
62594;62716;226.8431001890359
62718;63091;284.63648834019205
63093;63155;495.8677685950413
63157;63325;295.85798816568047
63327;63368;600.0
63370;63797;188.14878892733563
63799;64031;191.5868388171595
64033;65148;534.3195266272189
65150;65348;416.1712247324614
65350;66456;557.1640420874232
66458;67185;249.29111531190927
67187;67346;343.3922996878252
67348;67407;765.3061224489796
67409;67467;177.5147928994083
67469;67827;166.46848989298454
67829;67963;272.0
67965;68808;397.27295682181636
68810;69702;282.64462809917353
69704;69865;468.26222684703436
69867;70574;335.8486555425656
70576;70858;250.4725897920605
70860;71398;358.41621317320323
71400;71496;150.0
71498;71751;313.6830719307734
71753;71856;387.8116343490305
71858;72995;284.22496570644716
72997;73169;110.19283746556474
73171;73298;164.6090534979424
73300;73419;136.05442176870747
73421;73575;392.39001189060644
73577;74068;576.2167125803489
74070;74475;411.1797903789304
74477;74894;298.5074626865672
74896;75263;178.51646660510926
75265;76064;356.59361783929256
76066;76243;310.2040816326531
76245;76329;117.1875
76331;76664;277.36686390532543
76666;76714;1487.603305785124
76716;77124;240.58810425484518
77126;77511;379.20137891410513
77513;77946;163.31360946745562
77948;78883;431.64827340690636
78885;79144;443.75
79146;79375;190.66403681788296
79377;79451;255.6610664718773
79453;79591;192.04389574759946
79593;79713;204.08163265306123
79715;79808;185.1851851851852
79810;80046;275.0
80048;80144;1038.0622837370242
80146;80247;317.46031746031747
80249;80271;572.9166666666666
80273;80325;113.42155009451795
80327;80827;351.7422748191979
80829;81216;255.64803804994054
81218;81693;167.93628808864267
81695;81906;372.5346968590212
81908;82115;136.82331945270673
82117;82235;378.0718336483932
82237;83393;411.94255479969763
83395;83745;280.0
83747;86380;740.4481470841712
86382;86771;271.0459183673469
86773;87001;254.62962962962962
87003;87531;320.40816326530614
87533;87702;322.22222222222223
87704;88230;209.77777777777777
88232;88887;590.3739612188366
88889;89029;192.0
89031;89107;103.80622837370242
89109;89401;771.604938271605
89403;89709;414.81481481481484
89711;89921;168.75
89923;89978;416.6666666666667
89980;90053;68.02721088435374
90055;90394;361.3994617454825
90396;90730;202.14030915576694
90732;90821;123.96694214876032
90823;90875;153.0612244897959
90877;91280;269.8224852071006
91282;92059;444.7713897691263
92061;92290;393.51851851851853
92292;92533;228.53185595567868
92535;92608;400.0
92610;93075;345.2884829583426
93077;94377;700.2743129237617
94379;94518;267.85714285714283
94520;94597;800.0
94599;95228;721.8755270703323
95230;96040;559.6371882086167
96042;96116;1132.8125
96118;96195;666.6666666666666
96197;96203;7500.0
96205;96280;351.5625
96282;96345;133.33333333333334
96347;96844;258.4094453107596
96846;96913;306.1224489795918
96915;97246;424.0
97248;97317;185.9504132231405
97319;97371;249.30747922437672
97373;97516;1005.9171597633136
97518;97656;177.5147928994083
97658;97915;312.17481789802287
97917;98354;510.1130279595479
98356;98674;601.6528925619834
98676;99190;360.8888888888889
99192;99527;280.8888888888889
99529;99738;280.66998641919423
99740;100381;442.23682102227207
100383;100463;133.33333333333334
100465;100765;284.0
100767;100938;484.6938775510204
100940;101045;575.0
101047;101297;318.5595567867036
101299;102069;582.0491461890879
102071;102274;449.95408631772267
102276;102319;177.5147928994083
102321;102567;321.23735871505056
102569;102748;187.75510204081633
102750;103518;465.5009451795841
103520;103819;662.5
103821;103905;103.80622837370242
103907;104050;399.4082840236686
104052;104139;588.2352941176471
104141;104366;186.98060941828254
104368;104865;214.28571428571428
104867;105100;154.320987654321
105102;105295;316.358024691358
105297;105630;274.3801652892562
105632;105689;743.801652892562
105691;106199;358.41621317320323
106201;106252;468.75
106254;106736;256.55864197530866
106738;107257;765.9231389411449
107259;107601;441.438234247063
107603;107647;208.33333333333334
107649;107823;318.8775510204082
107825;107853;612.2448979591836
107855;108054;527.6816608996539
108056;108222;433.6734693877551
108224;108477;242.38227146814404
108479;108722;277.77777777777777
108724;108797;277.77777777777777
108799;108975;588.8888888888889
108977;109170;138.78743608473337
109172;109225;743.801652892562
109227;109302;416.6666666666667
109304;109365;247.93388429752065
109367;109406;1224.4897959183672
109408;109470;247.93388429752065
109472;109581;141.6076634735527
109583;109748;197.22425127830533
109750;109781;740.7407407407408
109783;109834;208.33333333333334
109836;109937;170.13232514177693
109939;110104;293.3673469387755
110106;110392;365.4320987654321
110394;110477;648.1481481481482
110479;112137;537.795918367347
112139;112300;343.3922996878252
112302;112429;464.0
112431;112575;573.9795918367347
112577;112753;181.25
112755;112846;195.91836734693877
112848;113041;517.578125
113043;113214;97.95918367346938
113216;113262;247.93388429752065
113264;113373;609.4182825484764
113375;113740;244.5579145391024
113742;115606;651.4341273699563
115608;116382;186.01127851190978
116384;116492;867.3469387755102
116494;117093;493.42105263157896
117095;118227;400.326321309947
118229;118368;221.89349112426035
118370;119730;841.5713472387557
119732;119890;322.22222222222223
119892;120407;320.2908587257618
120409;121784;483.496234577792
121786;122901;481.1209622419245
122903;123131;262.9656683710738
123133;123838;284.0550435551067
123840;124228;309.0567051867777
124230;124273;133.33333333333334
124275;125029;385.80082899351686
125031;125377;414.9519890260631
125379;125699;582.716049382716
125701;126790;429.34820987218416
126792;127956;582.2306238185255
127958;129677;1042.9367133020482
129679;130104;323.1763619575254
130106;130659;375.3049352598987
130661;131382;430.70418813581716
131384;131848;385.3865003341501
131850;132183;259.8789604841581
132185;132439;432.6663061114116
132441;133140;289.3813775510204
133146;133302;271.0459183673469
133304;133392;271.0459183673469
133394;133543;266.6666666666667
133545;133739;334.6938775510204
133741;134069;606.6093254866455
134071;134258;293.2098765432099
134260;134492;491.49338374291113
134494;134596;535.077288941736
134598;134719;413.22314049586777
134729;134738;0.0
134750;134758;0.0
134764;134952;798.8165680473372
134958;135143;478.515625
135151;135237;0.0
135239;135834;472.488949855205
