start;end;yule_k_characteristic
0;239;339.5061728395062
241;652;376.2755102040816
654;1251;311.6343490304709
1253;1597;259.8789604841581
1599;2150;291.2808641975309
2152;3455;587.1056241426612
3457;3935;407.71484375
3937;4348;292.39766081871346
4350;4736;357.02479338842977
4738;6283;569.8961937716263
6285;6389;147.92899408284023
6391;6677;265.28258362168395
6679;6827;344.82758620689657
6829;6988;380.49940546967895
6990;7083;185.9504132231405
7085;7169;339.5061728395062
7171;7322;277.77777777777777
7324;7795;176.39331957215236
7797;8541;542.2050476995532
8543;8842;277.77777777777777
8844;9790;411.3421550094518
9792;9902;48.0
9904;9985;207.61245674740485
9987;10040;153.0612244897959
10042;10228;92.5925925925926
10230;10473;140.33499320959712
10475;10519;600.0
10521;10786;222.11720226843101
10788;10993;186.98060941828254
10995;11134;831.758034026465
11136;11410;258.03531009506565
11412;11772;277.77777777777777
11774;11996;196.3117192147531
11998;12353;370.58316575696637
12355;12543;380.6228373702422
12545;13145;469.1828254847645
13147;13458;434.4482891195694
13460;13673;131.49243918474687
13675;14485;376.4336829722576
14487;14906;220.5419029615627
14908;15610;334.78584334148155
15612;16279;289.05075731298416
16281;16519;579.5847750865051
16521;16753;317.46031746031747
16755;17288;399.93074792243766
17290;17591;388.0
17593;17938;600.1371742112483
17940;18406;379.8126951092612
18408;18754;529.3005671077505
18756;19808;611.9633146660174
19810;20772;766.0057646956066
20774;21526;331.9943289224953
21528;22413;418.51258365538695
22415;23283;441.5294924554184
23285;23548;243.2610124917817
23550;24390;456.0887279311906
24392;24981;325.48476454293626
24983;25713;321.3296398891967
25715;26351;392.56198347107437
26353;27681;396.1950059453032
27683;27858;100.0
27860;28862;641.7410714285714
28864;29206;402.8972385694885
29208;29585;214.0309155766944
29587;31190;583.3866536188791
31192;32556;433.6889934682949
32558;33059;339.76124885215796
33061;33536;433.1360946745562
33538;33995;327.49209997127264
33997;34365;1036.6681756450882
34367;35876;585.6128808864266
35878;36679;590.3790087463557
36681;37070;190.24970273483947
37072;37291;145.42936288088643
37293;37950;308.41652463274085
37952;38528;359.16824196597355
38530;39443;439.6694214876033
39445;40414;458.57988165680473
40416;40900;282.18694885361555
40902;42115;771.9699005643644
42117;42804;427.1604938271605
42806;44025;634.765625
44027;44098;918.3673469387755
44100;44388;618.6793575252826
44390;44497;309.91735537190084
44499;45120;636.094674556213
45122;45145;0.0
45147;45188;133.33333333333334
45190;45505;334.4867358708189
45507;46062;365.3260695401378
46064;46190;71.3436385255648
46192;46347;285.46712802768167
46349;46483;240.0
46485;46854;246.73008323424494
46856;46925;459.18367346938777
46927;47434;462.25761772853184
47436;47607;114.28571428571429
47609;48210;301.7301038062284
48212;48368;371.09375
48370;48935;474.7607431037718
48937;49471;317.22550953320183
49473;49765;294.42148760330576
49767;50581;316.84027777777777
50583;50804;216.0493827160494
50806;51339;523.705613965483
51341;51657;430.05885015844274
51659;51750;637.1191135734072
51752;52477;369.1358024691358
52479;52664;301.7689906347555
52666;53122;396.4378052283827
53124;53246;226.8431001890359
53248;53621;284.63648834019205
53623;53685;495.8677685950413
53687;53855;295.85798816568047
53857;53898;600.0
53900;54327;188.14878892733563
54329;54561;191.5868388171595
54563;55678;534.3195266272189
55680;55878;416.1712247324614
55880;56986;557.1640420874232
56988;57715;249.29111531190927
57717;57876;343.3922996878252
57878;57937;765.3061224489796
57939;57997;177.5147928994083
57999;58357;166.46848989298454
58359;58493;272.0
58495;59338;397.27295682181636
59340;60232;282.64462809917353
60234;60395;468.26222684703436
60397;61104;335.8486555425656
61106;61388;250.4725897920605
61390;61928;358.41621317320323
61930;62026;150.0
62028;62281;313.6830719307734
62283;62386;387.8116343490305
62388;63525;284.22496570644716
63527;63699;110.19283746556474
63701;63828;164.6090534979424
63830;63949;136.05442176870747
63951;64105;392.39001189060644
64107;64598;576.2167125803489
64600;65005;411.1797903789304
65007;65424;298.5074626865672
65426;65793;178.51646660510926
65795;66594;356.59361783929256
66596;66773;310.2040816326531
66775;66859;117.1875
66861;67194;277.36686390532543
67196;67244;1487.603305785124
67246;67654;240.58810425484518
67656;68041;379.20137891410513
68043;68476;163.31360946745562
68478;69413;431.64827340690636
69415;69674;443.75
69676;69905;190.66403681788296
69907;69981;255.6610664718773
69983;70121;192.04389574759946
70123;70243;204.08163265306123
70245;70338;185.1851851851852
70340;70576;275.0
70578;70674;1038.0622837370242
70676;70777;317.46031746031747
70779;70801;572.9166666666666
70803;70855;113.42155009451795
70857;71357;351.7422748191979
71359;71746;255.64803804994054
71748;72223;167.93628808864267
72225;72436;372.5346968590212
72438;72645;136.82331945270673
72647;72765;378.0718336483932
72767;73923;411.94255479969763
73925;74275;280.0
74277;76910;740.4481470841712
76912;77301;271.0459183673469
77303;77531;254.62962962962962
77533;78061;320.40816326530614
78063;78232;322.22222222222223
78234;78760;209.77777777777777
78762;79417;590.3739612188366
79419;79559;192.0
79561;79637;103.80622837370242
79639;79931;771.604938271605
79933;80239;414.81481481481484
80241;80451;168.75
80453;80508;416.6666666666667
80510;80583;68.02721088435374
80585;80924;361.3994617454825
80926;81260;202.14030915576694
81262;81351;123.96694214876032
81353;81405;153.0612244897959
81407;81810;269.8224852071006
81812;82589;444.7713897691263
82591;82820;393.51851851851853
82822;83063;228.53185595567868
83065;83138;400.0
83140;83605;345.2884829583426
83607;84907;700.2743129237617
84909;85048;267.85714285714283
85050;85127;800.0
85129;85758;721.8755270703323
85760;86570;559.6371882086167
86572;86646;1132.8125
86648;86725;666.6666666666666
86727;86733;7500.0
86735;86810;351.5625
86812;86875;133.33333333333334
86877;87374;258.4094453107596
87376;87443;306.1224489795918
87445;87776;424.0
87778;87847;185.9504132231405
87849;87901;249.30747922437672
87903;88046;1005.9171597633136
88048;88186;177.5147928994083
88188;88445;312.17481789802287
88447;88884;510.1130279595479
88886;89204;601.6528925619834
89206;89720;360.8888888888889
89722;90057;280.8888888888889
90059;90268;280.66998641919423
90270;90911;442.23682102227207
90913;90993;133.33333333333334
90995;91295;284.0
91297;91468;484.6938775510204
91470;91575;575.0
91577;91827;318.5595567867036
91829;92599;582.0491461890879
92601;92804;449.95408631772267
92806;92849;177.5147928994083
92851;93097;321.23735871505056
93099;93278;187.75510204081633
93280;94048;465.5009451795841
94050;94349;662.5
94351;94435;103.80622837370242
94437;94580;399.4082840236686
94582;94669;588.2352941176471
94671;94896;186.98060941828254
94898;95395;214.28571428571428
95397;95630;154.320987654321
95632;95825;316.358024691358
95827;96160;274.3801652892562
96162;96219;743.801652892562
96221;96729;358.41621317320323
96731;96782;468.75
96784;97266;256.55864197530866
97268;97787;765.9231389411449
97789;98131;441.438234247063
98133;98177;208.33333333333334
98179;98353;318.8775510204082
98355;98383;612.2448979591836
98385;98584;527.6816608996539
98586;98752;433.6734693877551
98754;99007;242.38227146814404
99009;99252;277.77777777777777
99254;99327;277.77777777777777
99329;99505;588.8888888888889
99507;99700;138.78743608473337
99702;99755;743.801652892562
99757;99832;416.6666666666667
99834;99895;247.93388429752065
99897;99936;1224.4897959183672
99938;100000;247.93388429752065
100002;100111;141.6076634735527
100113;100278;197.22425127830533
100280;100311;740.7407407407408
100313;100364;208.33333333333334
100366;100467;170.13232514177693
100469;100634;293.3673469387755
100636;100922;365.4320987654321
100924;101007;648.1481481481482
101009;102667;537.795918367347
102669;102830;343.3922996878252
102832;102959;464.0
102961;103105;573.9795918367347
103107;103283;181.25
103285;103376;195.91836734693877
103378;103571;517.578125
103573;103744;97.95918367346938
103746;103792;247.93388429752065
103794;103903;609.4182825484764
103905;104270;244.5579145391024
104272;106136;651.4341273699563
106138;106912;186.01127851190978
106914;107022;867.3469387755102
107024;107623;493.42105263157896
107625;108757;400.326321309947
108759;108898;221.89349112426035
108900;110260;841.5713472387557
110262;110420;322.22222222222223
110422;110937;320.2908587257618
110939;112314;483.496234577792
112316;113431;481.1209622419245
113433;113661;262.9656683710738
113663;114368;284.0550435551067
114370;114758;309.0567051867777
114760;114803;133.33333333333334
114805;115559;385.80082899351686
115561;115907;414.9519890260631
115909;116229;582.716049382716
116231;117320;429.34820987218416
117322;118486;582.2306238185255
118488;120207;1042.9367133020482
120209;120634;323.1763619575254
120636;121189;375.3049352598987
121191;121912;430.70418813581716
121914;122378;385.3865003341501
122380;122713;259.8789604841581
122715;122969;432.6663061114116
122971;123670;289.3813775510204
123676;123832;271.0459183673469
123834;123922;271.0459183673469
123924;124073;266.6666666666667
124075;124269;334.6938775510204
124271;124599;606.6093254866455
124601;124788;293.2098765432099
124790;125022;491.49338374291113
125024;125126;535.077288941736
125128;125249;413.22314049586777
125259;125268;0.0
125280;125288;0.0
125294;125482;798.8165680473372
125488;125673;478.515625
125681;125767;0.0
125769;126364;472.488949855205
126372;126411;0.0
126413;126515;75.0
126523;126563;0.0
126565;126926;221.60664819944597
126928;127103;107.0154577883472
127105;127443;753.5563244905806
127451;127489;1666.6666666666667
127491;127509;0.0
127517;127559;370.3703703703704
127561;127755;497.9591836734694
127757;127957;337.3702422145329
127959;127996;833.3333333333334
128002;128098;351.5625
128100;128116;0.0
128122;128209;351.5625
128211;128267;153.0612244897959
128273;128483;594.1358024691358
128485;128725;136.82331945270673
128727;128958;380.859375
128960;130125;422.14301626197374
130127;130477;273.6686390532544
130479;130894;230.6122448979592
130896;131120;448.9795918367347
131122;131268;200.0
131270;131891;242.41544491217883
131899;131945;123.96694214876032
131947;132022;123.96694214876032
132024;132983;522.8382648664177
132985;133625;543.0932703659977
133627;133856;129.13223140495867
133858;133937;234.375
133939;134007;459.18367346938777
134009;134059;247.93388429752065
134061;134116;416.6666666666667
134118;134223;277.77777777777777
134225;134329;103.80622837370242
134331;134620;795.0617283950618
134622;134698;0.0
134700;134883;262.98487836949374
134885;135147;284.09090909090907
135149;135284;216.83673469387756
135286;135384;61.98347107438016
135386;135417;650.887573964497
135419;136020;313.6830719307734
136022;136240;65.74141709276844
136242;136305;117.1875
136307;136717;256.34765625
136719;136740;0.0
136742;137322;200.69204152249134
137324;137395;207.61245674740485
137397;137584;219.1380569758948
137586;137804;361.6042077580539
137806;138077;598.2905982905983
138079;138313;523.4979179060083
138315;138404;581.7174515235457
138406;138690;177.5147928994083
138696;138878;366.6666666666667
138880;139015;355.0295857988166
139017;139137;359.16824196597355
139139;139193;177.5147928994083
139199;139229;0.0
139231;139484;170.45454545454547
139486;139663;318.3673469387755
139665;139967;356.65294924554183
139969;140013;600.0
140015;140125;433.88429752066116
140127;140201;103.80622837370242
140203;140342;309.15576694411413
140344;140781;324.2603550295858
140783;140879;387.8116343490305
140881;141050;212.66540642722117
141052;141255;256.7901234567901
141257;141405;100.0
141407;141680;149.79338842975207
141682;141941;286.6414277988102
141943;142077;207.10059171597632
142079;142143;429.6875
142145;142800;581.0657596371882
