start;end;yule_k_characteristic
0;43;0.0
47;118;0.0
123;146;0.0
151;176;370.3703703703704
181;226;0.0
231;285;0.0
290;368;88.75739644970415
373;433;38.265306122448976
438;571;207.10059171597632
575;653;103.80622837370242
658;688;300.0
693;718;0.0
723;826;207.93950850661625
828;838;0.0
842;861;0.0
866;920;133.33333333333334
925;969;247.93388429752065
974;1025;207.61245674740485
1030;1055;0.0
1060;1353;447.0486111111111
1358;1393;544.0
1398;1535;280.9573361082206
1540;1605;385.6749311294766
1610;1807;177.95138888888889
1812;1856;232.42630385487527
1858;1885;0.0
1890;1941;103.80622837370242
1946;1992;68.02721088435374
1997;2048;339.5061728395062
2053;2133;221.60664819944597
2138;2162;370.3703703703704
2167;2354;65.74141709276844
2359;2378;65.74141709276844
2383;2409;370.3703703703704
2414;2463;459.18367346938777
2465;2480;0.0
2484;2519;0.0
2524;2737;138.2716049382716
2742;2972;163.88888888888889
2977;3077;151.22873345935727
3082;3225;210.92482422931315
3230;4925;726.1012491781722
4927;5446;538.7143900657414
5451;5526;200.0
5531;5547;0.0
5552;5567;3750.0
5572;5587;1875.0
5589;5600;0.0
5602;5749;517.7514792899408
5754;5803;560.1469237832874
5808;6186;621.7481789802289
6191;6555;349.12109375
6560;7045;368.24196597353495
7047;7054;0.0
7056;7070;0.0
7072;7193;1080.2469135802469
7197;8350;550.7908220093562
8352;8952;543.6288088642659
8957;9009;487.51486325802614
9014;9059;380.6228373702422
9061;9090;0.0
9092;9774;722.450845907636
9779;9897;579.5610425240055
9902;10085;237.03703703703704
10090;10187;77.85467128027682
10192;10454;117.78224648089629
10459;10485;175.31044558071585
10490;10544;276.8166089965398
10549;11035;504.72680660150615
11040;12382;951.7705495914116
12387;12479;341.52436484798
12484;12526;76.53061224489795
12531;12888;338.8888888888889
12890;12897;0.0
12899;12912;0.0
12916;14346;462.69410427976266
14350;14377;0.0
14382;14446;150.0
14451;14501;144.0
14506;14614;142.6872770511296
14619;14636;0.0
14641;14774;274.34842249657066
14779;15033;167.3193307226771
15038;15087;225.0
15092;15183;233.19615912208505
15188;15230;123.45679012345678
15235;15451;255.80011897679952
15456;15555;344.38775510204084
15560;15641;266.2721893491124
15646;15690;251.4792899408284
15695;15746;820.3125
15751;15915;238.75114784205692
15920;15954;27.548209366391184
15959;16697;326.53061224489795
16702;16776;96.0
16781;17077;396.6942148760331
17082;17103;328.0
17108;17219;33.333333333333336
17224;17323;197.23865877712032
17328;17371;1250.0
17376;17433;918.3673469387755
17438;17514;413.22314049586777
17519;17600;321.36105860113423
17605;17644;351.5625
17649;17704;153.0612244897959
17709;17739;370.3703703703704
17744;17778;355.0295857988166
17783;17881;133.1360946745562
17886;17905;177.5147928994083
17910;17931;370.3703703703704
17936;17965;0.0
17970;18031;207.61245674740485
18036;18089;96.0
18094;18120;0.0
18125;18524;265.09244820672757
18529;18558;167.3193307226771
18560;18566;0.0
18571;18818;131.28112267994567
18820;18846;0.0
18850;19000;155.55555555555554
19005;19240;430.9018159433672
19245;19266;1666.6666666666667
19271;20786;547.6121352881405
20791;21093;172.1763085399449
21098;21137;202.33196159122085
21139;21254;289.25619834710744
21259;22468;441.8029128970749
22473;22519;246.91358024691357
22524;22576;304.7091412742382
22581;22646;249.4331065759637
22651;22725;123.45679012345678
22730;22745;0.0
22747;22757;0.0
22761;22865;113.42155009451795
22870;23323;418.80151481398974
23328;23523;398.5722784057109
23528;23769;347.22222222222223
23774;23843;175.31044558071585
23848;23897;681.8181818181819
23902;23987;443.7869822485207
23992;24929;643.210197710718
24934;24961;227.27272727272728
24963;24970;0.0
24972;25005;1200.0
25009;25096;415.2249134948097
25101;25156;75.0
25161;25183;208.33333333333334
25188;25545;327.49209997127264
25550;25739;458.3333333333333
25743;25771;0.0
25776;26621;516.2064825930372
26623;26644;0.0
26648;26737;484.42906574394465
26742;26842;566.6666666666666
26847;26868;156.25
26873;26919;459.18367346938777
26924;26944;532.5443786982248
26949;27141;325.0
27146;27464;289.74552784076593
27469;27499;92.5925925925926
27504;27527;0.0
27532;27564;0.0
27569;27795;246.05920799692427
27797;27820;0.0
27824;27864;0.0
27869;27917;0.0
27922;28020;66.66666666666667
28025;28051;0.0
28056;28083;0.0
28085;28092;0.0
28094;28117;0.0
28121;28175;0.0
28180;28193;0.0
28198;28209;0.0
28214;28310;150.0
28315;28336;61.98347107438016
28341;28411;0.0
28416;28448;332.409972299169
28453;28503;533.3333333333334
28508;29185;317.46031746031747
29190;29258;233.7059079692263
29263;29372;929.7052154195011
29377;29497;604.0816326530612
29502;29914;374.77691850089235
29919;32039;735.4347380643399
32043;32917;708.3588086295746
32922;32988;598.9583333333334
32992;33008;0.0
33013;33035;0.0
33040;33053;0.0
33058;33084;1100.0
33089;33129;4583.333333333333
33134;33239;954.8611111111111
33244;33268;247.93388429752065
33273;33303;153.0612244897959
33308;33327;1700.0
33332;33439;488.1656804733728
33444;33523;113.42155009451795
33528;33599;100.0
33604;33887;434.4432882414152
33892;33942;535.5371900826447
33947;34007;123.96694214876032
34012;34043;83.10249307479225
34048;34355;423.1404958677686
34360;34391;224.0
34396;34445;0.0
34450;34476;0.0
34481;34502;208.33333333333334
34507;34534;208.33333333333334
34539;34567;625.0
34572;34590;247.93388429752065
34595;34634;300.0
34639;34673;625.0
34678;34690;1224.4897959183672
34692;34720;0.0
34724;34847;48.0
34852;34881;92.5925925925926
34886;34954;83.10249307479225
34959;34970;833.3333333333334
34975;35150;131.17283950617283
35155;35166;166.015625
35171;35277;44.37869822485207
35282;35333;0.0
35338;36034;427.4090775414175
36039;36052;515.9429578593174
36057;36447;256.24868725057763
36449;36478;0.0
36482;36533;0.0
36538;36560;0.0
36565;36672;151.22873345935727
36677;36709;176.0
36714;37221;510.4147119534622
37226;37555;739.6449704142012
37560;37585;637.2374510501958
37590;37674;664.819944598338
37679;37719;0.0
37724;38050;230.84025854108955
38055;38079;216.83673469387756
38084;38160;415.2249134948097
38165;38622;469.13116907487336
38627;38652;234.375
38657;38841;441.1764705882353
38846;39485;951.8143961927424
39490;39523;208.33333333333334
39528;39548;247.93388429752065
39553;39597;0.0
39602;39625;0.0
39630;39665;0.0
39670;39699;0.0
39701;39715;0.0
39719;39820;136.05442176870747
39825;40211;692.8697404887881
40216;40297;512.5432525951558
40302;40934;651.5235457063712
40939;41340;458.4194214876033
41345;41781;348.00713860797146
41783;41843;987.6543209876543
41847;42598;425.12488043362737
42603;42935;508.77414467870216
42940;43074;321.7455621301775
43079;43203;374.77691850089235
43208;43259;392.39001189060644
43264;43432;300.0
43437;43523;207.93950850661625
43527;43556;0.0
43560;43629;133.33333333333334
43634;43684;113.42155009451795
43689;43975;665.7173371306515
43980;44028;762.1824239900042
44033;44127;352.0
44132;44280;231.25
44285;44417;322.15647600262986
44421;45413;446.48759088997053
45418;45646;271.1776859504132
45648;45660;0.0
45664;46121;991.6666666666666
46126;46157;0.0
46162;46687;768.6980609418282
46689;46700;0.0
46702;46900;489.0738813735692
46905;46937;357.14285714285717
46942;47472;402.89256198347107
47477;47597;316.6351606805293
47602;48509;668.3043587805493
48514;48572;680.2721088435375
48577;48720;444.44444444444446
48725;48877;277.77777777777777
48882;48992;172.8395061728395
48997;49018;83.10249307479225
49023;49257;216.57642648896294
49262;49316;199.35920256318974
49320;49376;0.0
49381;49444;136.05442176870747
49446;49464;0.0
49466;49538;0.0
49543;49625;524.6913580246913
49630;49648;153.0612244897959
49653;49695;153.0612244897959
