start;end;yule_k_characteristic
0;113;23592.29373367245
116;121;23592.29373367245
124;126;23592.29373367245
129;151;75.0
154;173;0.0
176;183;0.0
185;199;0.0
201;206;0.0
209;223;0.0
226;609;295.85798816568047
611;640;833.3333333333334
642;664;0.0
667;676;0.0
679;684;999.853907962016
688;2633;999.853907962016
2635;3469;1438.7029589198505
3471;4189;1313.2807363576594
4191;4201;1278.2222222222222
4211;4244;1278.2222222222222
4247;4253;1278.2222222222222
4256;4267;623.746936957006
4269;4271;623.746936957006
4276;4715;623.746936957006
4718;4721;623.746936957006
4725;5183;426.9972451790634
5186;5190;0.0
5194;5618;553.6146197258802
5621;5624;0.0
5628;6067;312.2448979591837
6070;6072;133.33333333333334
6076;6515;473.6328125
6518;6521;0.0
6525;6951;825.0
6954;6958;0.0
6962;7393;369.40686784599376
7396;7401;0.0
7405;7827;290.52734375
7830;7833;0.0
7837;8289;476.1904761904762
8292;8294;941.274468971262
8298;8716;1040.4280618311534
8719;8722;0.0
8726;9182;889.545821015856
9185;9189;607.6388888888889
9193;9619;333.7278106508876
9622;9627;0.0
9631;10056;310.0591715976331
10059;10063;310.0591715976331
10067;10508;589.9234693877551
10511;10514;0.0
10518;10950;335.0970017636684
10953;10957;0.0
10961;11406;416.2330905306972
11409;11414;0.0
11418;11836;451.0198218902614
11839;11845;451.0198218902614
11849;12291;630.2021403091558
12294;12298;0.0
12302;12714;729.455216989843
12717;12720;0.0
12724;13162;669.3478885377765
13165;13169;0.0
13173;13604;365.3313177122701
13607;13612;0.0
13616;14048;469.67895362663495
14051;14057;0.0
14061;14504;532.1150228433216
14507;14512;0.0
14516;14943;328.9940828402367
14946;14950;0.0
14954;15382;390.2662993572084
15385;15390;0.0
15394;15847;378.698224852071
15850;15856;0.0
15860;16326;549.31640625
16329;16336;459.1368227731864
16340;16762;588.8888888888889
16765;16770;0.0
16774;17195;375.0
17198;17202;0.0
17206;17655;811.8343195266273
17658;17663;811.8343195266273
17667;18107;857.2964256920183
18110;18116;0.0
18120;18559;307.6171875
18562;18569;0.0
18573;18994;366.2109375
18997;19002;328.7981859410431
19006;19437;362.8056973931739
19440;19445;0.0
19449;19879;688.8888888888889
19882;19894;0.0
19899;21189;956.0
21193;23051;878.2679738562091
23055;23455;483.2256078793475
23458;23476;0.0
23479;23628;329.8611111111111
23630;23774;480.0
23776;23922;567.1077504725898
23924;24079;355.0295857988166
24081;24231;451.3888888888889
24233;24376;281.06508875739644
24378;24521;207.10059171597632
24523;24666;312.5
24669;24708;0.0
24711;26646;764.1337795646998
26649;26654;0.0
26657;26802;567.1077504725898
26804;26952;399.30555555555554
26954;27094;288.0
27096;27236;567.1077504725898
27239;27254;0.0
27261;27410;399.4082840236686
27416;27555;359.16824196597355
27561;27702;272.0
27708;27848;176.0
27854;28009;768.1755829903979
28015;28173;640.0
28179;28333;216.83673469387756
28339;28490;288.06584362139915
28493;28505;0.0
28510;28855;366.6785332858669
28859;29540;614.8213609392753
29544;30256;789.9502037120869
30260;30773;318.75
30777;31177;401.307966706302
31180;31195;0.0
31200;33688;1052.3746535651298
33692;35496;602.7210884353741
35500;36755;828.0338581641156
36758;36772;0.0
36775;36922;396.97542533081287
36924;37069;216.83673469387756
37071;37231;260.6310013717421
37233;37389;416.0
37391;37539;205.76131687242798
37541;37694;680.5293005671077
37696;37847;58.59375
37850;37869;0.0
37871;37882;0.0
37887;39172;838.5394974316257
39176;40420;721.8860013448835
40422;40536;619.8347107438017
40539;40569;833.3333333333334
40572;40715;123.45679012345678
40717;40855;289.25619834710744
40857;40998;38.265306122448976
